,neighborhood,latitude,longitude,pedestrian_volume
78,Etobicoke Centre,43.66380403636365,-79.55620421818183,2878
79,Etobicoke North,43.723690353111124,-79.60158943842222,14725
80,Etobicoke—Lakeshore,43.62133504483334,-79.53825085566667,2144
81,Fairbank,43.698170270000006,-79.4520875,19608
82,Fashion District,43.645047440000006,-79.3942578,46436
83,Financial District,43.647878379999995,-79.38303918000001,71914
84,First Chinatown,43.655240000000006,-79.38599,17916
85,Fisherville,43.77975436,-79.4657521,14017
86,Flemingdon Park,43.71759124380001,-79.3351312716,17438
87,Forest Hill,43.69077,-79.41353000000001,5098
88,Fort York,43.63614236666666,-79.404713,7393
89,Garden District,43.656186,-79.3758890875,47603
90,German Mills,43.8114225,-79.35986500000001,3838
91,Gerrard India Bazaar,43.674654749999995,-79.327328,4370
92,Glen Agar,43.66074999999999,-79.55688500000002,283
93,Glen Park,43.710805146125,-79.443686455,15320
94,Golden Mile,43.7242643,-79.2916227125,5953
95,Guildwood Village,43.7621101,-79.1947327,850
96,Harbord Village,43.66098244,-79.41055180000001,9127
97,Harbourfront,43.640668395000006,-79.38336685312503,33846
98,Harwood,43.67774860185714,-79.47358196414287,5606
99,Henry Farm,43.7725,-79.35745,4024
100,Highfield,43.708561165846156,-79.58267017346155,2082
101,Highland Creek,43.784614399999995,-79.17631100000003,6314
102,Hillcrest Village,43.7588872595,-79.38646565816667,12520
103,Humber Bay,43.630936000000005,-79.48892000000002,2258
104,Humber Heights,43.697148999999996,-79.522086,304
105,Humber River—Black Creek,43.737742149882344,-79.5097512264118,20358
106,Humber Summit,43.75735112500001,-79.56466564166668,4473
107,Humber Valley,43.674715,-79.523315,241
108,Humberlea,43.72274326875,-79.53109215108334,3457
109,Humberside,43.66017500000001,-79.48891000000003,1610
110,Humewood,43.68764,-79.42364,921
111,Ionview,43.73403974,-79.27537582000001,8883
112,Islington,43.64392500000001,-79.54836500000002,702
113,Islington Village,43.645719005444434,-79.52853581066668,9321
114,Jane & Finch,43.76084230572729,-79.51555257645455,40555
115,Keelesdale,43.693843181375,-79.473300018,18194
116,Kennedy,43.769163754,-79.27414657480001,4030
117,Kennedy Park,43.72648975620001,-79.2545577727,5005
118,Kensington Market,43.65599617777778,-79.40636166666667,45233
119,King East,43.650648248,-79.37551487808334,141290
120,King West,43.644477475,-79.40360257500001,50620
121,Kingsview Village,43.70117029014286,-79.55936368885715,3438
122,Kipling Heights,43.722526666666674,-79.571905,3789
123,Koreatown,43.661766400000005,-79.41790350000001,18966
124,L'Amoreaux,43.7974618394,-79.32101304928,19905
125,Lakeshore Village,43.6049111,-79.50001166666668,2100
126,Lambton,43.67174,-79.49723,4635
127,Lansing,43.766598592548405,-79.4179803277742,89758
128,Lawrence Heights,43.721592831333346,-79.45308273433332,10776
129,Lawrence Manor,43.72184108053334,-79.43267799606666,18256
130,Lawrence Park,43.726326323,-79.40168376066667,14285
131,Leaside,43.70713785454546,-79.37105070000001,12464
132,Leaside Business Park,43.7105611848,-79.36275319860002,7620
133,Leslieville,43.66129366111112,-79.33451409999999,22488
134,Liberty Village,43.63674730000001,-79.41475910000001,16487
135,Little Italy,43.653035,-79.41367500000001,5626
136,Little Jamaica,43.694979999999994,-79.4379535,8535
137,Little Malta,43.663664,-79.47623800000001,6657
138,Little Portugal,43.64975433571429,-79.43125878571429,34804
139,Little Tibet,43.634666972,-79.42531579833334,1014
140,Little Tokyo,43.6536626,-79.38291050000001,11493
141,Long Branch,43.59294057925001,-79.53960748325001,3816
142,Lytton Park,43.717468554545455,-79.4130500909091,8647
143,Malvern,43.80521027272727,-79.21074882727272,4366
144,Malvern West,43.790845436000005,-79.24505553135715,9696
145,Maple Leaf,43.70759375,-79.49567125,5105
146,Markland Woods,43.6319392225,-79.57477474400001,1730
147,Martin Grove Gardens,43.687583361600005,-79.5645182688,1765
148,Maryvale,43.76203108571429,-79.30563192857144,4137
149,Milliken,43.82371000000001,-79.30705,3170
150,Mimico,43.604826233333334,-79.49397300000001,1551
151,Mimico By-The-Lake,43.62192092523078,-79.48481489176923,10773
152,Mimico Village,43.618178,-79.50140400000002,3793
153,Mirvish Village,43.664880499999995,-79.41073625000001,27072
154,Moore Park,43.69076580000001,-79.38381706666668,1096
155,Morningside,43.78587680541667,-79.2062133065,6769
156,Morningside Heights,43.8189826,-79.22362934000002,800
157,Moss Park,43.655426250000005,-79.36941116666667,26133
158,Mount Dennis,43.6878284933125,-79.49147980987503,12799
159,New Toronto,43.60192605,-79.50693566666668,6522
160,Newton Brook,43.78627331337038,-79.41118583496298,39626
161,North Park,43.714099166666664,-79.47864450000002,8751
162,North York,43.731865600000006,-79.5112574,218
163,Northwood Park,43.763278868142855,-79.49909053928572,10562
164,Oakridge,43.69398795714287,-79.27735857142856,7270
165,Oakwood,43.6816740005,-79.43602048449999,9172
166,Old Burnhamthorpe,43.64146925,-79.5786769,1682
167,Old Mill,43.6498528,-79.4973455,709
168,Olde East York Village,43.69205770000001,-79.33416960000002,3644
169,Ossington,43.64698,-79.41715,486
170,Pape Village,43.685208599999996,-79.34498006666668,33514
171,Parkdale,43.63991142857143,-79.43562821428574,40246
172,Parkdale—High Park,43.65071279751282,-79.46092576943589,55316
173,Parkview Hills,43.70793000000001,-79.31106000000003,487
174,Parkway East,43.760626666666674,-79.3262145,3769
175,Parkway Forest,43.77590894414286,-79.33996570185715,5912
176,Parkway West,43.74823,-79.34634,502
177,Pine Point,43.717502,-79.552665,4392
178,Pleasant View,43.794321393000004,-79.33921535500002,830
179,Port Lands,43.64829247166667,-79.34822507899999,12864
180,Port Union Village,43.7806253406,-79.14021386700001,1924
181,Princess Anne Manor,43.669532,-79.54223600000002,921
182,Princess Margaret,43.67484550362501,-79.559775651875,3841
183,Queen West,43.64839990000001,-79.39748511111114,75678
184,Regent Park,43.66287275,-79.36011150000002,7869
185,Rexdale,43.731118571428574,-79.56625000000001,3226
186,Richview,43.687294800000004,-79.5407072888889,3274
187,Richview Gardens,43.682449999999996,-79.54915666666666,497
188,Riverdale,43.6621164,-79.34827585714287,12843
189,Rogers Road,43.68526999999999,-79.46177200000001,5207
190,Rosedale,43.673077400000004,-79.38034049999999,10867
191,Rouge,43.80532899,-79.17520719777778,2509
192,Rouge Hill,43.795214466333334,-79.14306373100001,423
193,Rouge Park,43.80093,-79.15057,282
194,Runnymede,43.66715696666666,-79.47964480000002,6450
195,STEELES AVE E,43.82764275000001,-79.29021250000001,2764
196,STEELES AVE W,43.77986009090909,-79.50285745454545,8134
197,Scarborough Centre,43.753838259400005,-79.25738054596,19942
198,Scarborough Junction,43.71795485714286,-79.26239642857145,4171
199,Scarborough North,43.80525599392593,-79.25252971962963,17401
200,Scarborough Southwest,43.71030205384615,-79.27915690769231,14368
201,Scarborough Village,43.743375304125,-79.21756795900001,9847
202,Scarborough—Agincourt,43.808337939000005,-79.31589535333333,11843
203,Scarborough—Guildwood,43.77997215600001,-79.24139393166668,3963
204,Scarborough—Rouge Park,43.79008436176924,-79.18814230969231,7606
205,Seaton Village,43.670899571250004,-79.41465343725,6218
206,Sherwood Park,43.7198964888889,-79.39088399999999,8790
207,Silver Hills,43.75473283333334,-79.36957433333335,4170
208,Silverthorn,43.68193,-79.47420000000002,516
209,Six Points,43.63839561083333,-79.53586263016668,3577
210,South Core,43.642589958875,-79.37599630612499,43763
211,South Hill,43.68121727500001,-79.40357750000001,3607
212,Spadina—Fort York,43.64869680714286,-79.37129235714288,140004
213,St. Clair West,43.683437420000004,-79.4162714,23394
214,St. James Town,43.66925081111111,-79.37425700000001,31485
215,St. John,43.74704480733333,-79.40678896633334,1994
216,St. Lawrence,43.6506753,-79.37004953076925,74369
217,St. Phillips,43.698082,-79.54645000000001,4337
218,Steeles,43.81455947678571,-79.317769871,8127
219,Sullivan,43.775440348166676,-79.32119092466668,7742
220,Tam O'Shanter,43.780454953399996,-79.30089982759999,7340
221,Tarragon Village,43.675237566666674,-79.41243233333334,3214
222,The Annex,43.66766918333334,-79.4040255,40854
223,The Beaches,43.67136354545455,-79.30065681818184,21384
224,The Bridle Path,43.735339029222224,-79.37492049744444,3745
225,The Kingsway,43.64509021128571,-79.51074550414286,7592
226,The Lakeshore Grounds,43.601324975000004,-79.52168378750002,8287
227,The Peanut,43.78154158,-79.34911510000002,11245
228,The Queensway,43.624242017375,-79.51884156825001,6604
229,Thistletown,43.73558666666668,-79.56163000000002,1582
230,Thorncliffe Park,43.7059058,-79.3466664,6642
231,Thorncrest Village,43.66242,-79.53116,221
232,Thornlea,43.80325139999999,-79.396314,470
233,Todmorden Village,43.69437076,-79.344758,1899
234,Toronto Centre,43.64960416,-79.37966600000001,140310
235,Toronto—Danforth,43.68234,-79.328445,5320
236,Toronto—St. Paul's,43.687055982666664,-79.44361192933333,3710
237,Trefann Court,43.653741858833335,-79.36343163225001,23580
238,University—Rosedale,43.6715214,-79.39245753333333,62323
239,Upper Guild,43.755458690800005,-79.20159374440001,2663
