,Postcode,Borough,Neighbourhood,Latitude,Longitude
68,M5H,Downtown Toronto,Adelaide,43.6504863,-79.3794979028506
69,M5H,Downtown Toronto,King,43.6489494,-79.3777538
70,M5H,Downtown Toronto,Richmond,43.8125891,-79.2633703893962
71,M6H,West Toronto,Dovercourt Village,43.6653069,-79.4326362
72,M6H,West Toronto,Dufferin,43.6602019,-79.4357191
76,M1J,Scarborough,Scarborough Village,43.7437422,-79.2116324
77,M2J,North York,Fairview,43.653963,-79.387207
78,M2J,North York,Henry Farm,43.7695089,-79.354296
79,M2J,North York,Oriole,43.7649819,-79.3642488
80,M3J,North York,Northwood Park,43.7541351,-79.50448
81,M3J,North York,York University,43.7705877,-79.5008332
82,M4J,East York,East Toronto,43.626243,-79.396962
83,M5J,Downtown Toronto,Harbourfront East,43.6400801,-79.3801495
84,M5J,Downtown Toronto,Toronto Islands,43.6161962,-79.3693582
85,M5J,Downtown Toronto,Union Station,43.64469,-79.3799656881095
86,M6J,West Toronto,Little Portugal,43.64741325,-79.4311163254605
87,M6J,West Toronto,Trinity,43.65467605,-79.3817313765644
91,M1K,Scarborough,East Birchmount Park,43.7141672,-79.271109
92,M1K,Scarborough,Ionview,43.7359904,-79.2765146
93,M1K,Scarborough,Kennedy Park,43.724878,-79.2539688
94,M2K,North York,Bayview Village,43.7691966,-79.3766617
96,M3K,North York,Downsview East,43.7492988,-79.462248
97,M4K,East Toronto,The Danforth West,43.6863598,-79.3003158
98,M4K,East Toronto,Riverdale,43.6654704,-79.3525936
99,M5K,Downtown Toronto,Design Exchange,43.6477412,-79.3801145
100,M5K,Downtown Toronto,Toronto Dominion Centre,43.64736955,-79.3813733580709
101,M6K,West Toronto,Brockton,43.6509173,-79.4400216
102,M6K,West Toronto,Exhibition Place,43.63381345,-79.417140724094
103,M6K,West Toronto,Parkdale Village,43.6404954,-79.4368965
107,M1L,Scarborough,Clairlea,43.7088231,-79.2959856
108,M1L,Scarborough,Golden Mile,43.7278414,-79.2876217
109,M1L,Scarborough,Oakridge,43.6971738,-79.2748232
110,M2L,North York,Silver Hills,43.7612224,-79.3683818
111,M2L,North York,York Mills,43.7461836,-79.4204541
112,M3L,North York,Downsview West,43.7492988,-79.462248
113,M4L,East Toronto,The Beaches West,43.6710244,-79.296712
114,M4L,East Toronto,India Bazaar,43.6722231,-79.3235032
115,M5L,Downtown Toronto,Commerce Court,43.64809515,-79.3790207204735
116,M5L,Downtown Toronto,Victoria Hotel,43.66946915,-79.37326825
117,M6L,North York,Downsview,43.7492988,-79.462248
118,M6L,North York,North Park,43.7186899,-79.4775337
119,M6L,North York,Upwood Park,43.7089606,-79.5008945986058
122,M9L,North York,Humber Summit,43.7600778,-79.5717598
123,M1M,Scarborough,Cliffcrest,43.7219387,-79.2362324
124,M1M,Scarborough,Cliffside,43.7111699,-79.2481769
125,M1M,Scarborough,Scarborough Village West,43.7437422,-79.2116324
126,M2M,North York,Newtonbrook,43.7938863,-79.4256790230105
127,M2M,North York,Willowdale,43.7753558,-79.4166859823926
128,M3M,North York,Downsview Central,43.7492988,-79.462248
129,M4M,East Toronto,Studio District,43.6444033,-79.3877238
130,M5M,North York,Bedford Park,43.7373876,-79.4109253
131,M5M,North York,Lawrence Manor East,43.7220788,-79.4375067
